0,1,2,3,4,5
Благодаря какому животному Шурик познакомился с Ниной в к/ф 'Кавказская пленница'?,Верблюд,Осел, Конь, Ежик,2
Что из этого является видом ткани?,Креп-лизет,Креп-жоржет, Креп-мюзет, Креп-жаннет,2
Как называется комедия В. В. Маяковского?,Пена,Клоп, Жук, Паук,2
Кто является чемпионом гонок 'Формулы-1' 1998-99 г.г.?,Хаккинен,М. Шумахер, Барикелло, Кулхард,1
Чье произведение легло в основу оперы Дж. Верди 'Травиата'?,В. Гюго, О. Бальзака, Г. Флобера,А.Дюма-сына,4
Какой из этих городов - родина Казановы?,Венеция,Неаполь, Милан, Флоренция,1
Кто считается основоположником кубизма?,В. Кандинский,П. Пикассо, Ф. Леже, К. Малевич,2
Территория какой из этих стран - наибольшая?,Германия, Италия, Финляндия,Япония,4
Какая из этих кислот является витамином?,Никотиновая,Молочная, Яблочная, Янтарная,1
Какая очередность этих трех букв в русском алфавите правильная?,Ь Ы Ъ, Ъ Ь Ы,Ъ Ы Ь, Ь Ъ Ы,3
Какая березка стояла во поле?,Кудрявая,Высокая, Зеленая, Засохшая,1
Кто из этих знаменитых людей не является тезкой остальных?,Боярский, Лермонтов,Лужков, Горбачев,3
Какой ресторан находится на углу Старого и Нового Арбата?,Пекин, Белград, София,Прага,4
Какой вид березы славится красивой древесиной?,Курильская, Корейская,Карельская, Канадская,3
Какая поэма есть у В. В. Маяковского?,"""Свирель-губы"""," ""Скрипка-ладони""","""Флейта-позвоночник"""," ""Барабан-нервы""",3
Какая из этих рек впадает в Азовское море?,Дон,Днестр, Южный Буг, Днепр,1
Кто из этих великих футболистов прошлого был защитником?,Платини,Беккенбауэр, Гарринча, Эйсебио,2
Какую икру больше всего любил Джеймс Бонд?,Белужью,Осетровую, Севрюжью, Стерляжью,1
"Какой цвет волос был у возлюбленной Тристана Изольды, если верить Бедье?",Рыжий, Каштановый, Вороново крыло,Белокурый,4
У автомобилей какой из этих стран международный регистрационный знак DZ?,Белиз, Бенин,Алжир, Замбия,3
Одним из направлений какой религиозной философии является учение дзен?,Иудаизм, Индуизм, Даосизм,Буддизм,4
В каком городе в 1932 году был проведён первый международный кинофестиваль? ,Канн,Венеция, Париж, Берлин,2
С какой фигуры начинаются соревнования по городошному спорту?,Пулемётное гнездо,Пушка, Артиллерия, Часовые,2
Сколько раз в сутки подзаводят часы на Спасской башне московского Кремля?,Два,Один, Три, Четыре,1
Кто получил первую Нобелевскую премию по литературе?,Романист, Драматург,Поэт, Эссеист,3
"С какой буквы начинаются слова, опубликованные в 16 м томе последнего издания Большой Советской энциклопедии?",Н, О, П,М,4
Какой химический элемент был назван в честь злого подземного гнома? ,Гафний, Бериллий, Теллур,Кобальт,4
"Как назвали первую кимберлитовую трубку, открытую Ларисой Попугаевой 21 августа 1954 года?",«Удачная», «Мир», «Советская»,«Зарница»,4
В честь какого растения область Фриули-Венеция-Джулия в Италии ежегодно проводит трёхмесячный фестиваль?,лук,спаржа, фасоль, артишок,2
"Как ""в народе"" называют химическое соединение - тринитротолуол?",Пластид, Гексаген, Динамит,Тротил,4
